filename,primary_label,secondary_labels,rating,collection,latitude,longitude
1139490/CSA36385.ogg,1139490,[''],0.0,CSA,7.3206,-73.7128
1139490/CSA36389.ogg,1139490,[''],0.0,CSA,7.3206,-73.7128
1192948/CSA36358.ogg,1192948,[''],0.0,CSA,7.3791,-73.7313
1192948/CSA36366.ogg,1192948,[''],0.0,CSA,7.28,-73.8582
1192948/CSA36373.ogg,1192948,[''],0.0,CSA,7.3791,-73.7313
1192948/CSA36388.ogg,1192948,[''],0.0,CSA,7.3791,-73.7313
1194042/CSA18783.ogg,1194042,[''],0.0,CSA,5.7892,-73.5504
1194042/CSA18794.ogg,1194042,[''],0.0,CSA,5.7892,-73.5504
1194042/CSA18802.ogg,1194042,[''],0.0,CSA,5.7892,-73.5504
126247/XC941297.ogg,126247,"['65448', '22976', '476538']",3.5,XC,9.0465,-79.3024
126247/iNat1109254.ogg,126247,[''],0.0,iNat,9.0465,-79.3024
126247/iNat146584.ogg,126247,[''],0.0,iNat,13.3852,-81.3704
126247/iNat320679.ogg,126247,[''],0.0,iNat,13.3482,-81.3576
126247/iNat888527.ogg,126247,[''],0.0,iNat,7.4197,-80.1606
126247/iNat888729.ogg,126247,[''],0.0,iNat,7.4197,-80.1606
1346504/CSA18784.ogg,1346504,[''],0.0,CSA,5.7892,-73.5504
1346504/CSA18791.ogg,1346504,[''],0.0,CSA,5.7892,-73.5504
1346504/CSA18792.ogg,1346504,[''],0.0,CSA,5.7892,-73.5504
1346504/CSA18793.ogg,1346504,[''],0.0,CSA,5.7892,-73.5504
1346504/CSA18803.ogg,1346504,[''],0.0,CSA,5.7892,-73.5504
134933/XC941298.ogg,134933,[''],4.0,XC,8.626,-80.1392
134933/iNat1108984.ogg,134933,[''],0.0,iNat,8.626,-80.1392
134933/iNat1160199.ogg,134933,[''],0.0,iNat,8.626,-80.1392
134933/iNat859408.ogg,134933,[''],0.0,iNat,10.3639,-84.7898
135045/iNat1122209.ogg,135045,[''],0.0,iNat,6.8819,-75.5274
135045/iNat1207345.ogg,135045,[''],0.0,iNat,6.0515,-75.3823
135045/iNat1207347.ogg,135045,[''],0.0,iNat,6.0515,-75.3823
135045/iNat1208549.ogg,135045,[''],0.0,iNat,6.0461,-75.2901
