filename,primary_label,secondary_labels,rating,collection,latitude,longitude,inat_taxon_id,scientific_name,common_name,class_name
1139490/CSA36385.ogg,1139490,[''],0.0,CSA,7.3206,-73.7128,1139490,Ragoniella pulchella,Ragoniella pulchella,Insecta
1139490/CSA36389.ogg,1139490,[''],0.0,CSA,7.3206,-73.7128,1139490,Ragoniella pulchella,Ragoniella pulchella,Insecta
1192948/CSA36358.ogg,1192948,[''],0.0,CSA,7.3791,-73.7313,1192948,Oxyprora surinamensis,Oxyprora surinamensis,Insecta
1192948/CSA36366.ogg,1192948,[''],0.0,CSA,7.28,-73.8582,1192948,Oxyprora surinamensis,Oxyprora surinamensis,Insecta
1192948/CSA36373.ogg,1192948,[''],0.0,CSA,7.3791,-73.7313,1192948,Oxyprora surinamensis,Oxyprora surinamensis,Insecta
1192948/CSA36388.ogg,1192948,[''],0.0,CSA,7.3791,-73.7313,1192948,Oxyprora surinamensis,Oxyprora surinamensis,Insecta
1194042/CSA18783.ogg,1194042,[''],0.0,CSA,5.7892,-73.5504,1194042,Copiphora colombiae,Copiphora colombiae,Insecta
1194042/CSA18794.ogg,1194042,[''],0.0,CSA,5.7892,-73.5504,1194042,Copiphora colombiae,Copiphora colombiae,Insecta
1194042/CSA18802.ogg,1194042,[''],0.0,CSA,5.7892,-73.5504,1194042,Copiphora colombiae,Copiphora colombiae,Insecta
126247/XC941297.ogg,126247,"['65448', '22976', '476538']",3.5,XC,9.0465,-79.3024,126247,Leptodactylus insularum,Spotted Foam-nest Frog,Amphibia
126247/iNat1109254.ogg,126247,[''],0.0,iNat,9.0465,-79.3024,126247,Leptodactylus insularum,Spotted Foam-nest Frog,Amphibia
126247/iNat146584.ogg,126247,[''],0.0,iNat,13.3852,-81.3704,126247,Leptodactylus insularum,Spotted Foam-nest Frog,Amphibia
126247/iNat320679.ogg,126247,[''],0.0,iNat,13.3482,-81.3576,126247,Leptodactylus insularum,Spotted Foam-nest Frog,Amphibia
126247/iNat888527.ogg,126247,[''],0.0,iNat,7.4197,-80.1606,126247,Leptodactylus insularum,Spotted Foam-nest Frog,Amphibia
126247/iNat888729.ogg,126247,[''],0.0,iNat,7.4197,-80.1606,126247,Leptodactylus insularum,Spotted Foam-nest Frog,Amphibia
1346504/CSA18784.ogg,1346504,[''],0.0,CSA,5.7892,-73.5504,1346504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Insecta
1346504/CSA18791.ogg,1346504,[''],0.0,CSA,5.7892,-73.5504,1346504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Insecta
1346504/CSA18792.ogg,1346504,[''],0.0,CSA,5.7892,-73.5504,1346504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Insecta
1346504/CSA18793.ogg,1346504,[''],0.0,CSA,5.7892,-73.5504,1346504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Insecta
1346504/CSA18803.ogg,1346504,[''],0.0,CSA,5.7892,-73.5504,1346504,Neoconocephalus brachypterus,Neoconocephalus brachypterus,Insecta
134933/XC941298.ogg,134933,[''],4.0,XC,8.626,-80.1392,134933,Espadarana prosoblepon,Emerald Glass Frog,Amphibia
134933/iNat1108984.ogg,134933,[''],0.0,iNat,8.626,-80.1392,134933,Espadarana prosoblepon,Emerald Glass Frog,Amphibia
134933/iNat1160199.ogg,134933,[''],0.0,iNat,8.626,-80.1392,134933,Espadarana prosoblepon,Emerald Glass Frog,Amphibia
134933/iNat859408.ogg,134933,[''],0.0,iNat,10.3639,-84.7898,134933,Espadarana prosoblepon,Emerald Glass Frog,Amphibia
135045/iNat1122209.ogg,135045,[''],0.0,iNat,6.8819,-75.5274,135045,Andinobates opisthomelas,Andean Poison Frog,Amphibia
135045/iNat1207345.ogg,135045,[''],0.0,iNat,6.0515,-75.3823,135045,Andinobates opisthomelas,Andean Poison Frog,Amphibia
135045/iNat1207347.ogg,135045,[''],0.0,iNat,6.0515,-75.3823,135045,Andinobates opisthomelas,Andean Poison Frog,Amphibia
135045/iNat1208549.ogg,135045,[''],0.0,iNat,6.0461,-75.2901,135045,Andinobates opisthomelas,Andean Poison Frog,Amphibia
135045/iNat1208550.ogg,135045,[''],0.0,iNat,6.0424,-75.253,135045,Andinobates opisthomelas,Andean Poison Frog,Amphibia
135045/iNat1208551.ogg,135045,[''],0.0,iNat,6.1436,-75.3364,135045,Andinobates opisthomelas,Andean Poison Frog,Amphibia
135045/iNat1208552.ogg,135045,[''],0.0,iNat,6.0055,-75.3879,135045,Andinobates opisthomelas,Andean Poison Frog,Amphibia
135045/iNat1208572.ogg,135045,[''],0.0,iNat,6.0106,-75.3322,135045,Andinobates opisthomelas,Andean Poison Frog,Amphibia
135045/iNat327127.ogg,135045,[''],0.0,iNat,6.874,-75.3888,135045,Andinobates opisthomelas,Andean Poison Frog,Amphibia
135045/iNat48803.ogg,135045,[''],0.0,iNat,6.1779,-75.5752,135045,Andinobates opisthomelas,Andean Poison Frog,Amphibia
1462711/CSA36371.ogg,1462711,[''],0.0,CSA,7.2625,-73.8207,1462711,Cocconotus aratifrons,Cocconotus aratifrons,Insecta
1462711/CSA36379.ogg,1462711,[''],0.0,CSA,7.3842,-73.8456,1462711,Cocconotus aratifrons,Cocconotus aratifrons,Insecta
1462711/CSA36390.ogg,1462711,[''],0.0,CSA,7.3842,-73.8456,1462711,Cocconotus aratifrons,Cocconotus aratifrons,Insecta
1462737/CSA36341.ogg,1462737,[''],0.0,CSA,7.32,-73.7069,1462737,Docidocercus fasciatus,Docidocercus fasciatus,Insecta
1462737/CSA36369.ogg,1462737,[''],0.0,CSA,7.3509,-73.8287,1462737,Docidocercus fasciatus,Docidocercus fasciatus,Insecta
1462737/CSA36380.ogg,1462737,[''],0.0,CSA,7.3842,-73.8456,1462737,Docidocercus fasciatus,Docidocercus fasciatus,Insecta
1462737/CSA36381.ogg,1462737,[''],0.0,CSA,7.3842,-73.8456,1462737,Docidocercus fasciatus,Docidocercus fasciatus,Insecta
1462737/CSA36386.ogg,1462737,[''],0.0,CSA,7.3842,-73.8456,1462737,Docidocercus fasciatus,Docidocercus fasciatus,Insecta
1462737/CSA36391.ogg,1462737,[''],0.0,CSA,7.3842,-73.8456,1462737,Docidocercus fasciatus,Docidocercus fasciatus,Insecta
1462737/CSA36395.ogg,1462737,[''],0.0,CSA,7.3206,-73.7128,1462737,Docidocercus fasciatus,Docidocercus fasciatus,Insecta
1564122/CSA34195.ogg,1564122,[''],0.0,CSA,-3.8333,-70.3333,1564122,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Insecta
1564122/CSA34196.ogg,1564122,[''],0.0,CSA,-3.8333,-70.3333,1564122,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Insecta
1564122/CSA34197.ogg,1564122,[''],0.0,CSA,-3.8333,-70.3333,1564122,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Insecta
1564122/CSA34198.ogg,1564122,[''],0.0,CSA,-3.8333,-70.3333,1564122,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Insecta
1564122/CSA34199.ogg,1564122,[''],0.0,CSA,-3.8333,-70.3333,1564122,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Insecta
1564122/CSA34200.ogg,1564122,[''],0.0,CSA,-3.8333,-70.3333,1564122,Daedadelus waehnerorum ,Daedadelus waehnerorum ,Insecta
21038/iNat297879.ogg,21038,[''],0.0,iNat,6.3741,-74.6802,21038,Colostethus inguinalis,Common Rocket Frog,Amphibia
21038/iNat65519.ogg,21038,[''],0.0,iNat,9.892,-75.1912,21038,Colostethus inguinalis,Common Rocket Frog,Amphibia
21116/iNat296867.ogg,21116,[''],0.0,iNat,5.8604,-74.8877,21116,Dendrobates truncatus,Yellow-striped Poison Dart Frog,Amphibia
21116/iNat65520.ogg,21116,[''],0.0,iNat,9.8882,-75.1882,21116,Dendrobates truncatus,Yellow-striped Poison Dart Frog,Amphibia
21211/XC882646.ogg,21211,[''],4.0,XC,,,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC882647.ogg,21211,[''],4.0,XC,,,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC882648.ogg,21211,[''],4.0,XC,,,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC882649.ogg,21211,[''],4.0,XC,,,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC882650.ogg,21211,[''],4.0,XC,,,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC882651.ogg,21211,[''],4.0,XC,,,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC882652.ogg,21211,[''],4.0,XC,-4.2443,-69.9264,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC882653.ogg,21211,[''],4.0,XC,,,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC882654.ogg,21211,[''],4.0,XC,0.8366,-51.8884,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC882655.ogg,21211,[''],4.0,XC,0.8366,-51.8884,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC882656.ogg,21211,[''],4.0,XC,,,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC882657.ogg,21211,[''],4.0,XC,,,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC882658.ogg,21211,[''],4.0,XC,-4.3811,-70.0448,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC882659.ogg,21211,[''],4.0,XC,-10.2097,-67.7092,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC896828.ogg,21211,[''],2.0,XC,3.9871,-52.5875,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC896832.ogg,21211,[''],3.0,XC,3.9871,-52.5875,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC896838.ogg,21211,[''],3.0,XC,3.9871,-52.5875,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC896839.ogg,21211,[''],4.0,XC,3.9871,-52.5875,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC896840.ogg,21211,[''],3.0,XC,3.9871,-52.5875,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC896855.ogg,21211,[''],3.0,XC,3.9871,-52.5875,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC896857.ogg,21211,[''],3.0,XC,3.9871,-52.5875,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC896860.ogg,21211,[''],3.0,XC,3.9871,-52.5875,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC896861.ogg,21211,[''],2.0,XC,3.9871,-52.5875,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC896863.ogg,21211,[''],3.0,XC,3.9871,-52.5875,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913785.ogg,21211,[''],3.0,XC,4.0883,-52.6813,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913809.ogg,21211,[''],3.0,XC,4.0883,-52.6813,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913811.ogg,21211,[''],3.0,XC,4.0883,-52.6813,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913839.ogg,21211,[''],3.0,XC,4.0891,-52.6816,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913840.ogg,21211,[''],3.0,XC,4.0891,-52.6816,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913858.ogg,21211,[''],3.0,XC,4.0891,-52.6816,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913859.ogg,21211,[''],3.0,XC,4.0891,-52.6816,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913880.ogg,21211,[''],4.0,XC,4.0895,-52.682,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913881.ogg,21211,[''],4.0,XC,4.0895,-52.682,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913886.ogg,21211,[''],4.0,XC,4.0895,-52.682,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913887.ogg,21211,[''],4.0,XC,4.0895,-52.682,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913893.ogg,21211,[''],3.0,XC,4.0895,-52.682,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913894.ogg,21211,[''],3.0,XC,4.0895,-52.682,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913976.ogg,21211,[''],3.0,XC,4.0916,-52.6858,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913977.ogg,21211,[''],3.0,XC,4.0916,-52.6858,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913978.ogg,21211,[''],3.0,XC,4.0916,-52.6858,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913992.ogg,21211,[''],3.0,XC,4.0916,-52.6858,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913997.ogg,21211,[''],3.0,XC,4.0916,-52.6858,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
21211/XC913998.ogg,21211,[''],3.0,XC,4.0946,-52.6862,21211,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia
